nome_completo,email,sexo,chapa_votada
Carlos Santos,carlos.santos98@gmail.com,Masculino,Mudança Já
Carlos Santos,carlos.santos99@gmail.com,Masculino,Mudança Já
Gabriel Oliveira,gabriel.oliveira100@gmail.com,Masculino,Mudança Já
Eduarda Silva,eduarda.silva101@gmail.com,Feminino,Mudança Já
Camila Oliveira,camila.oliveira102@gmail.com,Feminino,Mudança Já
Ana Santos,ana.santos103@gmail.com,Feminino,Mudança Já
Fernanda Silva,fernanda.silva104@gmail.com,Feminino,Mudança Já
Henrique Santos,henrique.santos105@gmail.com,Masculino,Mudança Já
Daniela Pereira,daniela.pereira106@gmail.com,Feminino,Mudança Já
Camila Costa,camila.costa107@gmail.com,Feminino,Escola Avante
Fernanda Costa,fernanda.costa108@gmail.com,Feminino,Mudança Já
Fernanda Pereira,fernanda.pereira109@gmail.com,Feminino,Escola Avante
Fernando Oliveira,fernando.oliveira110@gmail.com,Masculino,Mudança Já
Camila Oliveira,camila.oliveira111@gmail.com,Feminino,Mudança Já
Igor Silva,igor.silva112@gmail.com,Masculino,Escola Avante
Gabriel Almeida,gabriel.almeida113@gmail.com,Masculino,Mudança Já
Camila Almeida,camila.almeida114@gmail.com,Feminino,Escola Avante
Daniela Pereira,daniela.pereira115@gmail.com,Feminino,Mudança Já
Daniela Costa,daniela.costa116@gmail.com,Feminino,Mudança Já
Daniela Santos,daniela.santos117@gmail.com,Feminino,Escola Avante
Henrique Pereira,henrique.pereira118@gmail.com,Masculino,Mudança Já
Eduarda Almeida,eduarda.almeida119@gmail.com,Feminino,Escola Avante
Beatriz Costa,beatriz.costa120@gmail.com,Feminino,Escola Avante
Fernando Silva,fernando.silva121@gmail.com,Masculino,Mudança Já
Gabriel Santos,gabriel.santos122@gmail.com,Masculino,Mudança Já
Igor Silva,igor.silva123@gmail.com,Masculino,Mudança Já
Gabriel Santos,gabriel.santos124@gmail.com,Masculino,Mudança Já
Gabriel Oliveira,gabriel.oliveira125@gmail.com,Masculino,Mudança Já
Gabriel Costa,gabriel.costa126@gmail.com,Masculino,Mudança Já
Daniela Silva,daniela.silva127@gmail.com,Feminino,Escola Avante
Daniela Santos,daniela.santos128@gmail.com,Feminino,Mudança Já
Carlos Pereira,carlos.pereira129@gmail.com,Masculino,Mudança Já
Henrique Silva,henrique.silva130@gmail.com,Masculino,Mudança Já
Ana Oliveira,ana.oliveira131@gmail.com,Feminino,Mudança Já
Eduardo Oliveira,eduardo.oliveira132@gmail.com,Masculino,Mudança Já
Carlos Costa,carlos.costa133@gmail.com,Masculino,Mudança Já
Beatriz Santos,beatriz.santos134@gmail.com,Feminino,Mudança Já
Carlos Almeida,carlos.almeida135@gmail.com,Masculino,Escola Avante
Gabriel Pereira,gabriel.pereira136@gmail.com,Masculino,Escola Avante
Fernando Oliveira,fernando.oliveira137@gmail.com,Masculino,Escola Avante
Fernando Santos,fernando.santos138@gmail.com,Masculino,Mudança Já
Fernando Santos,fernando.santos139@gmail.com,Masculino,Escola Avante
Eduardo Pereira,eduardo.pereira140@gmail.com,Masculino,Escola Avante
Daniela Almeida,daniela.almeida141@gmail.com,Feminino,Escola Avante
Eduarda Costa,eduarda.costa142@gmail.com,Feminino,Mudança Já
Ana Costa,ana.costa143@gmail.com,Feminino,Mudança Já
Henrique Almeida,henrique.almeida144@gmail.com,Masculino,Mudança Já
Eduardo Silva,eduardo.silva145@gmail.com,Masculino,Mudança Já
Eduarda Pereira,eduarda.pereira146@gmail.com,Feminino,Mudança Já
Camila Silva,camila.silva147@gmail.com,Feminino,Mudança Já
Carlos Costa,carlos.costa148@gmail.com,Masculino,Mudança Já
Carlos Oliveira,carlos.oliveira149@gmail.com,Masculino,Mudança Já
Carlos Oliveira,carlos.oliveira150@gmail.com,Masculino,Escola Avante
Eduardo Costa,eduardo.costa151@gmail.com,Masculino,Escola Avante
Daniela Pereira,daniela.pereira152@gmail.com,Feminino,Escola Avante
Henrique Oliveira,henrique.oliveira153@gmail.com,Masculino,Escola Avante
Carlos Santos,carlos.santos154@gmail.com,Masculino,Mudança Já
Eduardo Oliveira,eduardo.oliveira155@gmail.com,Masculino,Mudança Já
Eduardo Oliveira,eduardo.oliveira156@gmail.com,Masculino,Mudança Já
Fernando Costa,fernando.costa157@gmail.com,Masculino,Escola Avante
Fernanda Pereira,fernanda.pereira158@gmail.com,Feminino,Mudança Já
Gabriel Costa,gabriel.costa159@gmail.com,Masculino,Escola Avante
Eduardo Costa,eduardo.costa160@gmail.com,Masculino,Mudança Já
Eduardo Almeida,eduardo.almeida161@gmail.com,Masculino,Escola Avante
Eduarda Santos,eduarda.santos162@gmail.com,Feminino,Escola Avante
Carlos Silva,carlos.silva163@gmail.com,Masculino,Mudança Já
Gabriel Silva,gabriel.silva164@gmail.com,Masculino,Mudança Já
Eduarda Oliveira,eduarda.oliveira165@gmail.com,Feminino,Mudança Já
Ana Silva,ana.silva166@gmail.com,Feminino,Escola Avante
Henrique Santos,henrique.santos167@gmail.com,Masculino,Escola Avante
Fernanda Oliveira,fernanda.oliveira168@gmail.com,Feminino,Escola Avante
Eduardo Oliveira,eduardo.oliveira169@gmail.com,Masculino,Mudança Já
Daniela Santos,daniela.santos170@gmail.com,Feminino,Mudança Já
Beatriz Costa,beatriz.costa171@gmail.com,Feminino,Mudança Já
Beatriz Costa,beatriz.costa172@gmail.com,Feminino,Escola Avante
Fernanda Santos,fernanda.santos173@gmail.com,Feminino,Mudança Já
Gabriel Santos,gabriel.santos174@gmail.com,Masculino,Escola Avante
Beatriz Costa,beatriz.costa175@gmail.com,Feminino,Mudança Já
Gabriel Silva,gabriel.silva176@gmail.com,Masculino,Mudança Já
Carlos Pereira,carlos.pereira177@gmail.com,Masculino,Escola Avante
Daniela Silva,daniela.silva178@gmail.com,Feminino,Mudança Já
Fernanda Oliveira,fernanda.oliveira179@gmail.com,Feminino,Mudança Já
Camila Pereira,camila.pereira180@gmail.com,Feminino,Mudança Já
Camila Costa,camila.costa181@gmail.com,Feminino,Escola Avante
Eduardo Santos,eduardo.santos182@gmail.com,Masculino,Escola Avante
Fernando Almeida,fernando.almeida183@gmail.com,Masculino,Mudança Já
Igor Silva,igor.silva184@gmail.com,Masculino,Escola Avante
Ana Santos,ana.santos185@gmail.com,Feminino,Escola Avante
Gabriel Almeida,gabriel.almeida186@gmail.com,Masculino,Mudança Já
Henrique Pereira,henrique.pereira187@gmail.com,Masculino,Mudança Já
Ana Silva,ana.silva188@gmail.com,Feminino,Escola Avante
Gabriel Oliveira,gabriel.oliveira189@gmail.com,Masculino,Escola Avante
Igor Pereira,igor.pereira190@gmail.com,Masculino,Mudança Já
Carlos Oliveira,carlos.oliveira191@gmail.com,Masculino,Mudança Já
Fernanda Oliveira,fernanda.oliveira192@gmail.com,Feminino,Escola Avante
Fernando Oliveira,fernando.oliveira193@gmail.com,Masculino,Mudança Já
Camila Almeida,camila.almeida194@gmail.com,Feminino,Escola Avante
Carlos Silva,carlos.silva195@gmail.com,Masculino,Escola Avante
Beatriz Silva,beatriz.silva196@gmail.com,Feminino,Mudança Já
Carlos Almeida,carlos.almeida197@gmail.com,Masculino,Mudança Já
Ana Costa,ana.costa198@gmail.com,Feminino,Mudança Já
Eduarda Costa,eduarda.costa199@gmail.com,Feminino,Mudança Já
